customer_tweet_id,customer_message_review,brand_response,human_correctness,human_helpfulness,human_relevance,human_groundedness,human_overall,human_pass,human_notes,draft_reply_review,customer_message_judge,draft_reply_judge,best_similarity,correctness,helpfulness,relevance,groundedness,overall_score,pass,short_reason
2624901,"@AppleSupport Progressively getting worse, hence why I need you to run a diag tool so I can determine if I need to replace battery? https\://t.co/xnurVSoD5Q",@741478 Understood. Let's take a look at this further in DM. https\://t.co/GDrqU22YpT,3.0,2.0,4.0,4.0,3.0,False,"Relevant handoff, but it does not address the requested battery diagnostic or replacement question.","Thanks for reaching out. We'd be happy to help.

Understood. Let's take a look at this further in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.","@AppleSupport Progressively getting worse, hence why I need you to run a diag tool so I can determine if I need to replace battery? https\://t.co/xnurVSoD5Q","Thanks for reaching out. We'd be happy to help.

Understood. Let's take a look at this further in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.942876546114694,4,3,4,4,4,True,"The reply appropriately directs the customer to continue in direct messages, matching the strongest historical evidence, but it does not explain how the battery diagnostic will be performed and adds a generic escalation statement."
1773730,@AppleSupport Does Apple no longer sell a wired USB keyboard??,@202812 Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here: https\://t.co/8yjRd1Xo0i,4.0,4.0,5.0,5.0,4.0,True,"Directly addresses the keyboard sales question and points to the appropriate sales team, though the removed link weakens the actionable detail.","Thanks for reaching out. We'd be happy to help.

Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",@AppleSupport Does Apple no longer sell a wired USB keyboard??,"Thanks for reaching out. We'd be happy to help.

Hi! Great question. Our Online Sales Team can help out with keyboards. Reach them here:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,3,5,4,4,True,"The reply correctly directs the customer to Apple's Online Sales Team, matching the historical response, but it omits the provided contact link and adds a generic support fallback."
286211,Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,@184189 Let's team up to figure out the best path forward. Reach out via DM and we'll take a look. https\://t.co/GDrqU22YpT,3.0,3.0,4.0,4.0,3.0,False,"Acknowledges the audio problem and offers follow-up, but provides no concrete troubleshooting step.","Thanks for reaching out. We'd be happy to help.

Let's team up to figure out the best path forward. Reach out via direct message and we'll take a look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",Getting distorted outgoing Voice msg quality w the last update to #iPhone &amp; #WhatsApp @4305 @AppleSupport Bluetooth is off but sounds on,"Thanks for reaching out. We'd be happy to help.

Let's team up to figure out the best path forward. Reach out via direct message and we'll take a look.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0000000000000004,4,3,5,5,4,True,"The reply closely matches the historical support response and appropriately directs the customer to continue via direct message, but it provides no specific troubleshooting for the distorted WhatsApp audio issue."
2132077,"@AppleSupport doesn't happen with wi-fi. it's the first time that happens. I did not have ""on"" the wifi nor the cellular data, when i turned on the data, it froze for at least 30 mins. (the reset function did not work)","@627432 We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown? https\://t.co/o7nB3pXfMv",4.0,4.0,5.0,5.0,4.0,True,Asks a relevant restart question based on the reported freezing behavior and is grounded in the historical response.,"Thanks for reaching out. We'd be happy to help.

We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.","@AppleSupport doesn't happen with wi-fi. it's the first time that happens. I did not have ""on"" the wifi nor the cellular data, when i turned on the data, it froze for at least 30 mins. (the reset function did not work)","Thanks for reaching out. We'd be happy to help.

We'd like to find out why this happens. To start when you attempt a restart, were you use the steps shown?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,3,2,4,4,3,False,"The reply is relevant and broadly consistent with the historical response, but it does not provide the restart instructions or link, contains awkward wording, and offers little actionable help beyond referring the customer to Apple Support."
228552,@AppleSupport Why don't the iPads have a Calculator?,@170492 We'd like to look into this. Which iPad and software version are you using?,2.0,2.0,4.0,4.0,2.0,False,The reply asks for device/version details but does not answer the user's product-feature question about Calculator on iPad.,"Thanks for reaching out. We'd be happy to help.

We'd like to look into this. Which iPad and software version are you using?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",@AppleSupport Why don't the iPads have a Calculator?,"Thanks for reaching out. We'd be happy to help.

We'd like to look into this. Which iPad and software version are you using?

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,2,2,3,5,2,False,"The reply matches the historical response and is grounded in the evidence, but it does not answer the customer's informational question about why iPads lack a Calculator app. Asking for the iPad model and software version is unnecessary for this request."
543708,".\@AppleSupport @115858 - how come there isn't already information here about the widely reported ""2nd December"" bug - my phone keeps crashing/re-starting. I'm due an upgrade and so if this isn't fixed soon and fully I'll be choosing @122986 #Pixel2 Poor.........","@246296 We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing: https\://t.co/Wc5MHFZb0p",4.0,4.0,5.0,4.0,4.0,True,"Relevant to the reported crash/restart bug and points toward the historical support guidance, although the actual article link was removed.","Thanks for reaching out. We'd be happy to help.

We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",".\@AppleSupport @115858 - how come there isn't already information here about the widely reported ""2nd December"" bug - my phone keeps crashing/re-starting. I'm due an upgrade and so if this isn't fixed soon and fully I'll be choosing @122986 #Pixel2 Poor.........","Thanks for reaching out. We'd be happy to help.

We want your iPhone to function properly for you. Check out this support article, which addresses the issue you're experiencing:

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,3,2,4,4,3,False,"The reply is relevant and consistent with the historical response, but it omits the support article link and provides no specific troubleshooting or information about the reported bug, making it minimally actionable."
2730400,"@AppleSupport 

It’s happening again. Is there going to be an update to address this, or this just the “new normal”? https\://t.co/gnWFaWgh1I",@498939 That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.,4.0,4.0,5.0,5.0,4.0,True,"Requests the iOS version, which is a relevant diagnostic step and is directly grounded in the historical response.","Thanks for reaching out. We'd be happy to help.

That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.","@AppleSupport 

It’s happening again. Is there going to be an update to address this, or this just the “new normal”? https\://t.co/gnWFaWgh1I","Thanks for reaching out. We'd be happy to help.

That should not be happening. Which version of iOS are you using? You can check in Settings &gt; General &gt; About.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.9310861072911982,4,4,5,5,4,True,"The reply closely matches the strongest historical response and appropriately asks for the iOS version, but it does not directly address the customer's question about whether an update is planned."
2552419,@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,@351168 We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in DM. https\://t.co/GDrqU22YpT,5.0,5.0,5.0,5.0,5.0,True,"Requests the Watch model and software versions, which is highly relevant to battery troubleshooting and matches the historical resolution.","Thanks for reaching out. We'd be happy to help.

We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",@AppleSupport since upgrading the Apple Watch software the battery drains very quickly,"Thanks for reaching out. We'd be happy to help.

We’d be glad to look into that more. Can you start by confirming what model Watch you have as well as the current WatchOS and iOS version your devices have installed? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,4,5,5,4,True,"The reply closely matches the supported response by requesting the Watch model and current watchOS/iOS versions and moving the investigation to direct messages. It is relevant and appropriate, though it offers no immediate troubleshooting and redundantly suggests contacting Apple Support."
2743018,"@AppleSupport you suck so bad. I hate you. Waiting forever for @118721 to load, you never seem to like my recently created password. Then iTunes just hangs, as you can see in this photo.  What a waste of time. https\://t.co/P6cRmsXDbP",@768328 We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in DM. https\://t.co/GDrqU22YpT,4.0,4.0,5.0,5.0,4.0,True,Asks for the iTunes version and moves toward diagnosis; it is relevant despite not resolving the password issue directly.,"Thanks for reaching out. We'd be happy to help.

We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.","@AppleSupport you suck so bad. I hate you. Waiting forever for @118721 to load, you never seem to like my recently created password. Then iTunes just hangs, as you can see in this photo.  What a waste of time. https\://t.co/P6cRmsXDbP","Thanks for reaching out. We'd be happy to help.

We want you to be able to use iTunes consistently. What version of iTunes are you on currently? Let us know in direct message.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",0.9691441627654472,4,3,5,5,4,True,"The reply closely matches the historically supported response and appropriately asks for the iTunes version via direct message. However, it offers little immediate troubleshooting and redundantly directs the customer to contact Apple Support."
2355893,"@AppleSupport Why when I delete emails from my mail app, do they reappear seconds later??",@680608 We're here for you. DM us which device you're using and we'll go from there. https\://t.co/GDrqU22YpT,3.0,3.0,5.0,5.0,3.0,False,"Relevant device-specific follow-up, but it provides no troubleshooting for emails reappearing.","Thanks for reaching out. We'd be happy to help.

We're here for you. direct message us which device you're using and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.","@AppleSupport Why when I delete emails from my mail app, do they reappear seconds later??","Thanks for reaching out. We'd be happy to help.

We're here for you. direct message us which device you're using and we'll go from there.

If this doesn't resolve the issue, please contact Apple Support so we can take a closer look.",1.0,4,3,5,5,4,True,"The reply closely matches the historical support response and appropriately asks for the device to provide tailored steps, but it does not explain why deleted emails reappear or offer immediate troubleshooting."
