customer_tweet_id,customer_message,true_intent,predicted_intent,correct
2039356,I did exactly that @AppleSupport yet ..... or do you want me to throwaway my iPhone 7 and get the X? I’m not understanding anything again https\://t.co/dszcLP2lZF,general_or_unclear,app_or_media_issue,False
1527759,MY I️ ISNT WORKING APPLE (eye but the single letter) @115858 @AppleSupport,keyboard_input_issue,app_or_media_issue,False
249331,@AppleSupport put all my PICTURES AND SHIT BACK,apple_id_icloud_issue,app_or_media_issue,False
2623623,Please @115858 @AppleSupport @116333 @123857 @119462 Repair the way @12228 show the released date app. Thank you https\://t.co/JUjDyD5ZTs,product_feature_question,app_or_media_issue,False
2774315,"@AppleSupport Yeah, I did that. However, the map was not edited to reflect my (correct) feedback. How do I make sure the map does get changed?",product_feature_question,app_or_media_issue,False
946675,@AppleSupport Didn’t have these issues prior to installing update. I know others with same issue of phone bogging down since update,device_performance_issue,software_update_issue,False
541132,@230273 @AppleSupport Thanks!,general_or_unclear,app_or_media_issue,False
427833,@AppleSupport @115858 the battery life of my 6S is horrendous after iOS https\://t.co/t4CyQ5ZBMd REALLY need to address this ASAP,device_performance_issue,software_update_issue,False
1705374,@516902 @115858 @AppleSupport this has been fucking me up all day,general_or_unclear,app_or_media_issue,False
2242117,@AppleSupport These messages are invisibles ...my iPhone sends that automatically. But my number is not registered by iMessage,apple_id_icloud_issue,app_or_media_issue,False
554720,@2531 @AppleSupport        I just got a new iPhone but when my sister transferred my media and everything else to this new phone EVERYTHING GOT DELETED and I’m so upset I lost everything 😭,apple_id_icloud_issue,app_or_media_issue,False
1629794,@65298 @AppleSupport Hahaha help me!,general_or_unclear,app_or_media_issue,False
1524131,Seriously @AppleSupport @115858 why can’t EYE TYPE THE LETTER EYE https\://t.co/vm4KaEeem4,keyboard_input_issue,app_or_media_issue,False
1674094,@AppleSupport It doesn’t change to an I it’s just a box with a question mark in it,keyboard_input_issue,app_or_media_issue,False
1800931,@AppleSupport Why is my phone even worse after the last iOS update I have to charge twice a day now,device_performance_issue,software_update_issue,False
2140948,@AppleSupport @118936 @23150 @160959 I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ please help I️ I️ I️ I️ I️,keyboard_input_issue,app_or_media_issue,False
2636962,Okay. @AppleSupport when will my phone let me type regular capital i’s again?,keyboard_input_issue,app_or_media_issue,False
2548157,"@AppleSupport hi, constantly try to get my artist page verified-start process, but cant get past my log in details as page always times out",apple_id_icloud_issue,app_or_media_issue,False
506501,"@AppleSupport using IOS 11.1.2, a dark screen with loading circle icon.",device_performance_issue,software_update_issue,False
1507293,@AppleSupport what is going on?,general_or_unclear,app_or_media_issue,False
1769960,@AppleSupport fix my i️ please,keyboard_input_issue,app_or_media_issue,False
1773448,@AppleSupport fix the goddamn “I” issue.,keyboard_input_issue,app_or_media_issue,False
445986,"@AppleSupport re: Keynote…why is the default layout for presentations 4:3? Apple pushes progress, so shouldn’t the default be 16:9?",product_feature_question,app_or_media_issue,False
110862,@AppleSupport Yea I believe so it’s a bit off,general_or_unclear,app_or_media_issue,False
2920059,@AppleSupport Done. It would be appreciated if you passed this request on to the powers that be as well.,general_or_unclear,app_or_media_issue,False
1616675,@AppleSupport Thanks for the response. Can landscape support be enabled in future versions of software. Can you take it as feedback?,product_feature_question,app_or_media_issue,False
2683846,@AppleSupport This is all I can see https\://t.co/IowxWR51H1,general_or_unclear,app_or_media_issue,False
792769,@AppleSupport I can’t seem to change my push notifications for my emails. The option to do this is no longer their in settings? 🤔,product_feature_question,app_or_media_issue,False
2280551,@AppleSupport this afternoon. it does not go away,general_or_unclear,app_or_media_issue,False
148178,@AppleSupport Have done that and still in the same situ 👎🏻,general_or_unclear,app_or_media_issue,False
508258,@AppleSupport It did not work ! 😢,general_or_unclear,app_or_media_issue,False
53582,@AppleSupport Hi. I cannot reset the security questions after I logged in my account. What to do? :/,apple_id_icloud_issue,app_or_media_issue,False
1954372,@AppleSupport IPhone 6 - Lag and touchscreen problems after ios 11.0.3,device_performance_issue,software_update_issue,False
2028664,@AppleSupport No also in the control center !,general_or_unclear,app_or_media_issue,False
195999,@AppleSupport Yes I am 🙂,general_or_unclear,app_or_media_issue,False
1734417,@AppleSupport my iPhone started strucking when I got updated new iOS 11.1 plz resolve the issue.,device_performance_issue,software_update_issue,False
1509390,@AppleSupport why can’t I️ type the letter I without some weird thing going on,keyboard_input_issue,app_or_media_issue,False
228552,@AppleSupport Why don't the iPads have a Calculator?,product_feature_question,app_or_media_issue,False
2058370,"@AppleSupport My iPhone 6s Plus is not synching my music &amp; photos. It keeps saying ""Sync session failed to finish"" Please help.",apple_id_icloud_issue,app_or_media_issue,False
946721,@AppleSupport Do you think this is an issue w/ the beta version on my phone?,general_or_unclear,app_or_media_issue,False
2072007,Yo @AppleSupport since these updates my phone works aswell as a house brick!! Sort this shit out!!,device_performance_issue,software_update_issue,False
848277,"@AppleSupport me ajuda, minhas Fotos não estão aparecendo no celular 😔",apple_id_icloud_issue,app_or_media_issue,False
1368820,"@AppleSupport Hey guys, you still haven’t fixed this issue. Not cool. https\://t.co/C7sID4uNWE",general_or_unclear,app_or_media_issue,False
484554,Has anyone else been having issues with charging your iPhone since the #IOS11 update? @AppleSupport,device_performance_issue,software_update_issue,False
356447,@AppleSupport Nope. It’s like a very limited number of call logs being displayed. I’d like to have them as big as my messages inbox. Practically as long as a month. Limiting my logs to a 25/50 numbers is awful. Not reasonable to restrict my phone log as primarily an iPhone is to talk over.,product_feature_question,app_or_media_issue,False
2533256,@AppleSupport A version of iOS 10. I did a hard reset more than a few times with no change after the hard reset.,device_performance_issue,software_update_issue,False
1913277,Will this ever get fixed? @115858 @AppleSupport https\://t.co/bYZGkdzcCQ,general_or_unclear,app_or_media_issue,False
741057,@AppleSupport is there a easy way to remove out of date wallet passes? It’s crazy having to tap 4 times to delete one pass,product_feature_question,app_or_media_issue,False
1774500,@AppleSupport Well thank you for replying. I figured it was glitch so I understand but it’s truly frustrating. Thanks for the temp solution 💕,general_or_unclear,app_or_media_issue,False
1986900,ATTENTION. @AppleSupport I️ need assistance. My phone won’t let me type an uppercase i. It shows this symbol instead i https\://t.co/OsQsvJezGB,keyboard_input_issue,app_or_media_issue,False
2512276,"meu passatempo é meu celular, lá tem minhas músicas, minhas frases, meus estudos, meu app do nubank, como que eu vou conseguir ficar sem ? :(  thanks  @AppleSupport @118936",general_or_unclear,app_or_media_issue,False
2743018,"@AppleSupport you suck so bad. I hate you. Waiting forever for @118721 to load, you never seem to like my recently created password. Then iTunes just hangs, as you can see in this photo.  What a waste of time. https\://t.co/P6cRmsXDbP",apple_id_icloud_issue,app_or_media_issue,False
603998,@AppleSupport do better,general_or_unclear,app_or_media_issue,False
1915729,im soooo over this fucking ios 11 update my phone has dropped more calls because my phone has frozen than EVER before. @AppleSupport,device_performance_issue,software_update_issue,False
2816413,@AppleSupport i have vibrate disabled but my phone still vibrates when i use TouchID to make a purchase in the app store help,product_feature_question,app_or_media_issue,False
1547669,@479163 @479164 I️’m not sure but @AppleSupport better fix is ASAP,general_or_unclear,app_or_media_issue,False
2472878,.\@AppleSupport tip: iMessage- bring feature to allow you to pin individual or group chats. Thanks.,product_feature_question,app_or_media_issue,False
2014678,@AppleSupport why is it that every time i️ type the letter “i️” it shows the letter “A” and a question mark.,keyboard_input_issue,app_or_media_issue,False
491469,@AppleSupport I’m using the 6 Plus right now lol,general_or_unclear,app_or_media_issue,False
1153803,"@AppleSupport I’ve lived in Houston 20+ years, and can get pretty much everywhere on my own, but I still use Maps every single day to get where I’m going. For reassurance. So fix it!",product_feature_question,app_or_media_issue,False
114520,@AppleSupport @6523 @115817,general_or_unclear,app_or_media_issue,False
